Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
6,95,1500,0,124.19,1045.9,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
8,35,200,0,6.58,1171.55,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE
16,35,200,0,6.61,916.16,0.936,0.927,AISI 1010 carbon steel,2509.8,2.78,Bad,DOE
25,35,200,15,27.19,1191.93,0.933,0.927,AISI 1010 carbon steel,2867.4,2.5,Bad,DOE
30,95,1500,15,133.53,1304.9,0.949,0.994,AISI 1010 carbon steel,5277.7,3.91,Good,DOE
32,95,200,15,33.27,1025.97,0.94,0.945,AISI 1010 carbon steel,2764.4,2.9,Bad,DOE
40,60,1000,0,77.04,2992.93,0.637,0.626,AISI 1010 carbon steel,3256.1,4.57,Good,
41,60,1000,0,77.05,3012.4,0.642,0.635,AISI 1010 carbon steel,3385.3,4.42,Good,
49,60,1000,0,77.99,3300.65,0.656,0.64,AISI 1010 carbon steel,3245.9,3.8,Good,
50,60,1000,0,77.92,3050.42,0.648,0.64,AISI 1010 carbon steel,3229.2,3.92,Good,
56,80,1000,0,102.48,3816.83,0.635,0.634,AISI 1010 carbon steel,3002.5,3.75,Good,
62,80,1000,0,101.69,4180.71,0.638,0.636,AISI 1010 carbon steel,2943.9,3.91,Good,
65,80,1000,0,105.06,3469.84,0.642,0.642,AISI 1010 carbon steel,2931.9,3.53,Good,
78,80,1000,0,106.42,3225.27,0.645,0.64,AISI 1010 carbon steel,2878.1,3.19,Good,
82,80,1000,0,106.23,2931.38,0.657,0.637,AISI 1010 carbon steel,3049.1,4.25,Good,
88,80,800,0,114.05,3573.86,0.616,0.629,AISI 1010 carbon steel,2976.2,3.35,Good,
90,80,800,0,114.09,3091.3,0.635,0.623,AISI 1010 carbon steel,2781.8,3.71,Good,
91,80,800,0,114.95,3068.97,0.645,0.653,AISI 1010 carbon steel,2843.4,3.47,Good,
92,80,800,0,115.4,3074.57,0.645,0.635,AISI 1010 carbon steel,2726.7,3.53,Good,
94,80,800,0,115.13,3066.73,0.645,0.632,AISI 1010 carbon steel,2644.8,3.28,Good,
95,80,800,0,114.79,3100.19,0.623,0.633,AISI 1010 carbon steel,2585.6,3.14,Good,
96,80,800,0,114.97,3525.9,0.634,0.636,AISI 1010 carbon steel,2996.5,3.22,Good,
100,80,800,0,115.14,3037.42,0.626,0.631,AISI 1010 carbon steel,2783.6,3.55,Good,
103,80,800,0,115.91,3560.85,0.631,0.63,AISI 1010 carbon steel,2657.4,3.22,Good,
105,80,800,0,116.0,2954.17,0.632,0.634,AISI 1010 carbon steel,2777.6,3.37,Good,
107,80,800,0,116.01,3104.63,0.638,0.64,AISI 1010 carbon steel,2652.0,3.1,Good,
125,80,800,0,114.64,3127.81,0.637,0.644,AISI 1010 carbon steel,2963.0,3.44,Good,
134,80,800,0,114.71,2983.72,0.636,0.648,AISI 1010 carbon steel,2834.4,3.72,Good,
137,80,600,0,104.89,3393.15,0.62,0.622,AISI 1010 carbon steel,2674.1,3.37,Good,
144,80,600,0,107.83,2973.32,0.618,0.619,AISI 1010 carbon steel,2707.6,3.38,Good,
151,80,600,0,107.74,3224.74,0.623,0.615,AISI 1010 carbon steel,2666.9,3.1,Good,
180,80,600,0,108.2,3040.82,0.629,0.625,AISI 1010 carbon steel,2802.1,3.85,Good,
183,80,600,0,108.32,3040.25,0.634,0.629,AISI 1010 carbon steel,2783.0,3.63,Good,
190,60,400,0,91.9,3344.14,0.642,0.636,AISI 1010 carbon steel,2766.2,3.03,Good,
191,60,400,0,91.89,3352.87,0.64,0.637,AISI 1010 carbon steel,3056.3,3.4,Good,
196,60,400,0,92.23,2727.75,0.617,0.627,AISI 1010 carbon steel,2608.9,3.53,Good,
219,60,400,0,93.01,3140.98,0.621,0.632,AISI 1010 carbon steel,2748.3,3.38,Good,
223,60,400,0,93.01,3563.74,0.631,0.631,AISI 1010 carbon steel,2830.0,3.23,Good,
224,60,400,0,93.03,3401.76,0.614,0.628,AISI 1010 carbon steel,2649.6,3.6,Good,
226,60,400,0,93.18,3308.46,0.641,0.633,AISI 1010 carbon steel,2729.7,3.02,Good,
231,60,400,0,92.65,3587.79,0.637,0.627,AISI 1010 carbon steel,2678.9,3.58,Good,
237,60,1000,15,75.28,3955.36,0.636,0.639,AISI 1010 carbon steel,3228.6,3.61,Good,
239,60,1000,15,77.02,4210.64,0.624,0.625,AISI 1010 carbon steel,3216.0,3.66,Good,
246,60,1000,15,73.37,3528.34,0.64,0.63,AISI 1010 carbon steel,3039.0,3.33,Good,
261,60,1000,15,73.6,3674.48,0.633,0.631,AISI 1010 carbon steel,3013.7,3.57,Good,
263,60,1000,15,73.95,3776.05,0.63,0.646,AISI 1010 carbon steel,3056.3,3.98,Good,
264,60,1000,15,74.08,3758.25,0.636,0.638,AISI 1010 carbon steel,3226.8,3.72,Good,
267,60,1000,15,74.18,3837.5,0.625,0.631,AISI 1010 carbon steel,3091.0,3.69,Good,
278,60,1000,15,79.73,3791.51,0.62,0.621,AISI 1010 carbon steel,2922.3,3.68,Good,
279,60,1000,15,79.33,4531.34,0.613,0.618,AISI 1010 carbon steel,3008.5,3.49,Good,
285,60,1000,15,76.57,4481.34,0.627,0.63,AISI 1010 carbon steel,3155.6,3.55,Good,
287,60,800,15,74.87,4597.28,0.628,0.629,AISI 1010 carbon steel,3192.7,3.82,Good,
295,60,800,15,75.08,3839.74,0.625,0.628,AISI 1010 carbon steel,3098.8,3.71,Good,
296,60,800,15,74.9,3263.44,0.629,0.623,AISI 1010 carbon steel,3152.6,3.56,Good,
297,60,800,15,74.82,3017.54,0.622,0.622,AISI 1010 carbon steel,3016.2,3.73,Good,
298,60,800,15,75.05,3105.18,0.637,0.626,AISI 1010 carbon steel,3168.8,3.6,Good,
301,60,800,15,80.89,3454.44,0.62,0.62,AISI 1010 carbon steel,3017.4,3.57,Good,
302,60,800,15,80.49,3502.9,0.631,0.625,AISI 1010 carbon steel,3061.1,3.72,Good,
320,60,800,15,82.81,3507.8,0.632,0.632,AISI 1010 carbon steel,3012.0,3.8,Good,
327,60,800,15,78.89,3166.61,0.627,0.63,AISI 1010 carbon steel,3101.8,3.82,Good,
328,60,800,15,78.92,3274.49,0.621,0.629,AISI 1010 carbon steel,3037.2,3.6,Good,
336,60,600,15,89.19,4297.96,0.624,0.627,AISI 1010 carbon steel,2948.0,3.22,Good,
340,60,600,15,89.22,3978.34,0.625,0.624,AISI 1010 carbon steel,2834.4,3.63,Good,
353,60,600,15,93.32,3601.67,0.632,0.618,AISI 1010 carbon steel,2882.9,3.32,Good,
