Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Thickness_min (mm),F_pull_physical
401,60,400,15,94.41,3823.58,0.618,0.62,AISI 1010 carbon steel,2933.7,3.07,Explode,,1.238,0.618,1700.757731688599
127,80,800,0,113.87,3106.29,0.625,0.626,AISI 1010 carbon steel,3123.9,3.45,Good,,1.251,0.625,1720.021977840412
273,60,1000,15,79.35,3614.54,0.639,0.623,AISI 1010 carbon steel,2953.4,3.39,Good,,1.262,0.623,1714.5179075113228
223,60,400,0,93.01,3563.74,0.631,0.631,AISI 1010 carbon steel,2830.0,3.23,Good,,1.262,0.631,1736.5341888276796
130,80,800,0,114.32,3082.39,0.629,0.641,AISI 1010 carbon steel,2787.2,3.4,Good,,1.27,0.629,1731.0301184985906
344,60,600,15,90.05,4473.65,0.62,0.62,AISI 1010 carbon steel,2774.6,3.21,Good,,1.24,0.62,1706.2618020176888
396,60,400,15,95.4,4215.54,0.626,0.616,AISI 1010 carbon steel,2830.2,3.52,Good,,1.242,0.616,1695.2536613595103
30,95,1500,15,133.53,1304.9,0.949,0.994,AISI 1010 carbon steel,5277.7,3.91,Good,DOE,1.943,0.949,2611.6813711528807
353,60,600,15,93.32,3601.67,0.632,0.618,AISI 1010 carbon steel,2882.9,3.32,Good,,1.25,0.618,1700.757731688599
208,60,400,0,93.51,3652.88,0.639,0.633,AISI 1010 carbon steel,2814.1,3.19,Good,,1.272,0.633,1742.038259156769
393,60,400,15,95.36,3411.35,0.618,0.618,AISI 1010 carbon steel,2521.6,3.23,Good,,1.236,0.618,1700.757731688599
64,80,1000,0,103.17,3526.87,0.639,0.639,AISI 1010 carbon steel,2978.6,3.39,Good,,1.278,0.639,1758.5504701440373
368,60,600,15,94.68,3650.53,0.618,0.615,AISI 1010 carbon steel,3104.2,3.64,Explode,,1.233,0.615,1692.5016261949654
51,60,1000,0,77.83,2938.41,0.633,0.635,AISI 1010 carbon steel,3143.0,4.23,Good,,1.268,0.633,1742.038259156769
366,60,600,15,95.03,3713.12,0.628,0.625,AISI 1010 carbon steel,3061.1,3.1,Good,,1.253,0.625,1720.021977840412
202,60,400,0,92.62,3113.48,0.635,0.631,AISI 1010 carbon steel,2703.4,3.0,Good,,1.266,0.631,1736.5341888276796
207,60,400,0,93.45,3174.21,0.627,0.629,AISI 1010 carbon steel,2888.5,3.64,Good,,1.256,0.627,1725.526048169501
357,60,600,15,94.87,3420.92,0.617,0.614,AISI 1010 carbon steel,2940.3,3.53,Good,,1.231,0.614,1689.7495910304208
347,60,600,15,90.45,3403.28,0.621,0.62,AISI 1010 carbon steel,3062.9,3.27,Good,,1.241,0.62,1706.2618020176888
230,60,400,0,92.61,2975.06,0.628,0.633,AISI 1010 carbon steel,2783.6,3.44,Good,,1.261,0.628,1728.2780833340457
218,60,400,0,92.99,3800.12,0.637,0.632,AISI 1010 carbon steel,2741.7,3.41,Good,,1.269,0.632,1739.2862239922247
446,60,1200,15,95.3,4077.41,0.616,0.614,AISI 1010 carbon steel,3174.7,3.51,Good,,1.23,0.614,1689.7495910304208
