Force (N)_mean,Force (N)_std,Force (N)_min,Force (N)_max,Current (A)_mean,Current (A)_std,Current (A)_min,Current (A)_max,Pressure (PSI),Welding Time (ms),Angle (Deg),Thickness A (mm),Thickness B (mm),Welding_Time_Total
3.41,3.41,0.0,6.82,1244.7766666666666,141.856409560278,1081.47,1337.45,35,200,0,0.922,0.92,600
25.9675,16.599982128504433,0.0,52.25,1840.57125,98.11079097122803,1709.96,2016.44,35,1500,0,0.92,0.925,24000
8.286666666666667,8.285000502916903,0.0,16.57,1416.6733333333334,90.00885752709746,1321.93,1501.05,95,200,0,0.912,0.924,600
33.13666666666666,8.285000502916903,24.85,41.42,1474.3500000000001,182.15594116031454,1268.82,1615.83,95,200,0,0.948,0.939,600
97.64466666666667,21.37720276591955,63.82,127.46,1035.198,92.86468590681501,871.91,1150.82,35,1500,0,0.93,0.937,22500
13.173333333333332,3.295001264541992,9.88,16.47,1115.1333333333332,29.74447231559736,1083.06,1141.81,35,200,0,0.932,0.928,600
91.91,23.8062344775481,54.07,129.13,1098.595,48.73917999583764,1007.36,1190.49,95,1500,0,0.937,0.927,24000
8.276666666666666,8.275000503524657,0.0,16.55,1268.7066666666667,85.42471090576382,1187.59,1357.87,95,200,0,0.929,0.915,600
23.24866666666667,14.892717235839358,0.0,46.58,1172.2313333333334,132.13817485964492,829.45,1374.24,35,1500,0,0.931,0.938,22500
3.3366666666666664,3.335001249375078,0.0,6.67,1932.03,79.22295879352149,1840.75,1982.89,95,200,15,1.057,0.936,600
53.92666666666667,0.03214550253664278,53.89,53.95,2270.5,84.35013692934942,2173.26,2323.94,95,200,15,0.929,0.925,600
13.520000000000001,3.41,10.11,16.93,1236.2066666666667,74.66083332868281,1178.87,1320.63,35,200,15,0.938,0.925,600
34.03,3.4200000000000017,30.61,37.45,1347.46,78.2515731471259,1257.92,1402.73,35,200,15,0.928,0.933,600
24.007333333333335,15.37362652014652,0.0,48.08,1228.0486666666666,128.16273895028198,1063.83,1456.86,35,1500,15,0.936,0.953,22500
88.88866666666667,21.508924017275998,55.05,122.48,1268.8826666666669,45.01598183925772,1203.42,1361.66,95,1500,15,0.947,0.957,22500
132.452,1.4656456402750067,127.36,133.53,1331.34,52.177887900089246,1278.27,1494.16,95,1500,15,0.949,0.994,22500
8.253333333333334,8.255000504744585,0.0,16.51,1926.8233333333335,227.8176018953174,1675.41,2119.57,95,200,15,0.927,0.924,600
77.02454545454545,0.11570338252304617,76.89,77.25,2809.81,584.9912284983425,1314.1,3211.91,60,1000,0,0.629,0.632,11000
77.196,0.09640193635677312,77.07,77.37,2871.781,508.8345054785059,1568.3,3385.03,60,1000,0,0.647,0.638,10000
77.14545454545454,0.06105139414684038,77.06,77.25,2939.690909090909,473.1923303362924,1709.96,3376.89,60,1000,0,0.644,0.639,11000
77.155,0.02121320343559723,77.14,77.17,2435.44,1431.2124093928196,1423.42,3447.46,60,1000,0,0.638,0.627,2000
77.04272727272728,0.04734784241988129,77.01,77.15,2823.400909090909,543.2728629050881,1470.96,3424.44,60,1000,0,0.644,0.645,11000
77.23181818181818,0.07985213607890516,77.16,77.39,2808.4754545454543,603.2319601672916,1543.98,3434.47,60,1000,0,0.639,0.634,11000
77.402,0.04589843860816069,77.37,77.5,2780.278,512.3682711097556,1447.39,3222.07,60,1000,0,0.624,0.624,10000
77.45545454545454,0.03908033683673786,77.41,77.53,2653.050909090909,662.5747153409123,1262.02,3396.19,60,1000,0,0.636,0.62,11000
77.61363636363636,0.08488494887466166,77.54,77.78,3038.3245454545454,499.5414688964997,1830.44,3580.12,60,1000,0,0.63,0.631,11000
77.82272727272726,0.04692353547868052,77.78,77.92,2716.4263636363635,588.2838005125201,1623.27,3432.46,60,1000,0,0.627,0.636,11000
77.84,0.04000000000000374,77.77,77.9,2698.504545454545,720.0881994362029,855.98,3347.22,60,1000,0,0.64,0.629,11000
77.88545454545455,0.04987256487560798,77.84,77.99,2856.0472727272727,594.9855097746652,1234.46,3375.87,60,1000,0,0.656,0.64,11000
77.78727272727272,0.055693968989629104,77.7,77.88,2583.6045454545456,717.155473455563,795.58,3328.67,60,1000,0,0.633,0.635,11000
