Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments,Thickness A+B (mm),Thickness_min (mm),F_pull_physical
101,80,800,0,115.54,2929.03,0.625,0.631,AISI 1010 carbon steel,2683.1,3.41,Good,,1.256,0.625,1720.021977840412
31,95,200,15,8.31,1075.09,0.946,0.939,AISI 1010 carbon steel,2667.3,2.81,Bad,DOE,1.885,0.939,2584.1610195074345
493,60,1200,0,97.09,4161.74,0.615,0.619,AISI 1010 carbon steel,2730.3,3.58,Good,,1.234,0.615,1692.5016261949654
219,60,400,0,93.01,3140.98,0.621,0.632,AISI 1010 carbon steel,2748.3,3.38,Good,,1.253,0.621,1709.013837182233
60,80,1000,0,96.29,3615.49,0.631,0.64,AISI 1010 carbon steel,2946.9,3.73,Good,,1.271,0.631,1736.5341888276796
194,60,400,0,91.87,3704.78,0.627,0.632,AISI 1010 carbon steel,2879.3,3.24,Good,,1.259,0.627,1725.526048169501
163,80,600,0,108.21,3085.18,0.641,0.638,AISI 1010 carbon steel,2781.8,3.67,Good,,1.279,0.638,1755.798434979492
135,80,800,0,114.26,3178.0,0.639,0.635,AISI 1010 carbon steel,2541.9,3.19,Good,,1.274,0.635,1747.5423294858583
34,60,1000,0,77.33,3211.91,0.656,0.656,AISI 1010 carbon steel,3281.1,4.63,Good,,1.312,0.656,1805.3350679412968
103,80,800,0,115.91,3560.85,0.631,0.63,AISI 1010 carbon steel,2657.4,3.22,Good,,1.261,0.63,1733.782153663135
380,60,600,15,95.1,4417.17,0.627,0.622,AISI 1010 carbon steel,3222.6,3.26,Good,,1.249,0.622,1711.7658723467775
260,60,1000,15,73.43,4362.31,0.633,0.626,AISI 1010 carbon steel,3098.8,3.61,Good,,1.259,0.626,1722.774013004956
221,60,400,0,93.02,3049.29,0.64,0.622,AISI 1010 carbon steel,2787.2,3.6,Good,,1.262,0.622,1711.7658723467775
359,60,600,15,93.85,4254.52,0.622,0.623,AISI 1010 carbon steel,2788.4,3.48,Good,,1.245,0.622,1711.7658723467775
320,60,800,15,82.81,3507.8,0.632,0.632,AISI 1010 carbon steel,3012.0,3.8,Good,,1.264,0.632,1739.2862239922247
238,60,1000,15,77.54,3548.27,0.632,0.635,AISI 1010 carbon steel,3229.2,3.48,Good,,1.267,0.632,1739.2862239922247
122,80,800,0,114.15,3298.04,0.624,0.631,AISI 1010 carbon steel,2723.2,3.24,Good,,1.255,0.624,1717.2699426758668
190,60,400,0,91.9,3344.14,0.642,0.636,AISI 1010 carbon steel,2766.2,3.03,Good,,1.278,0.636,1750.294364650403
156,80,600,0,107.45,2809.75,0.625,0.634,AISI 1010 carbon steel,2655.0,3.27,Good,,1.259,0.625,1720.021977840412
