Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
6,95,1500,0,0.0,1213.38,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,8.29,1230.27,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,16.57,1217.63,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,24.85,1111.28,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,33.15,1126.65,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,41.45,1162.71,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,49.75,1135.77,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,58.03,1030.99,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,66.32,981.42,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,74.6,1017.56,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,82.88,1054.09,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,91.15,998.79,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,99.41,976.15,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,107.67,1010.77,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,115.93,1052.45,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
6,95,1500,0,124.19,1045.9,0.918,0.925,AISI 1010 carbon steel,4161.4,4.35,Good,DOE
8,35,200,0,0.0,1270.17,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE
8,35,200,0,3.29,1180.33,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE
8,35,200,0,6.58,1171.55,0.931,0.922,AISI 1010 carbon steel,1836.4,2.64,Bad,DOE
14,95,1500,0,0.0,812.69,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,8.36,863.98,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,16.7,1030.99,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,25.01,1039.3,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,33.33,997.07,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,41.63,1003.94,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,49.92,1101.95,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,58.22,1138.8,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,66.5,1128.18,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,74.76,1097.26,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,83.02,1094.12,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,91.26,1140.31,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,99.49,1128.18,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,107.72,1040.95,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,115.94,1055.72,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
14,95,1500,0,124.16,1078.29,0.925,0.93,AISI 1010 carbon steel,3970.1,3.94,Good,DOE
16,35,200,0,0.0,741.88,0.936,0.927,AISI 1010 carbon steel,2509.8,2.78,Bad,DOE
16,35,200,0,3.31,949.35,0.936,0.927,AISI 1010 carbon steel,2509.8,2.78,Bad,DOE
16,35,200,0,6.61,916.16,0.936,0.927,AISI 1010 carbon steel,2509.8,2.78,Bad,DOE
22,35,1500,15,58.13,1518.14,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.25,1480.28,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.25,1424.63,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.33,1416.15,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.4,1435.45,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.48,1476.8,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.55,1482.61,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.62,1474.46,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.68,1583.58,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.75,1489.55,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.82,1452.13,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.89,1480.28,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,53.95,1456.86,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,54.0,1495.31,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,54.05,1499.91,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
22,35,1500,15,54.11,1440.24,0.93,0.946,AISI 1010 carbon steel,4952.0,3.78,Explode,DOE
25,35,200,15,20.35,1253.82,0.933,0.927,AISI 1010 carbon steel,2867.4,2.5,Bad,DOE
25,35,200,15,23.77,1257.92,0.933,0.927,AISI 1010 carbon steel,2867.4,2.5,Bad,DOE
25,35,200,15,27.19,1191.93,0.933,0.927,AISI 1010 carbon steel,2867.4,2.5,Bad,DOE
28,35,1500,15,51.5,1118.99,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
28,35,1500,15,54.91,1186.14,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
28,35,1500,15,54.91,1170.08,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
28,35,1500,15,54.93,1171.55,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
28,35,1500,15,54.97,1187.59,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
28,35,1500,15,55.01,1231.67,0.939,0.93,AISI 1010 carbon steel,3855.5,2.73,Explode,DOE
