Sample ID,Pressure (PSI),Welding Time (ms),Angle (Deg),Force (N),Current (A),Thickness A (mm),Thickness B (mm),Material,PullTest (N),NuggetDiameter (mm),Category,Comments
1,35,200,0,0.0,1315.41,0.922,0.92,AISI 1010 carbon steel,2127.7,2.63,Bad,DOE
1,35,200,0,3.41,1337.45,0.922,0.92,AISI 1010 carbon steel,2127.7,2.63,Bad,DOE
1,35,200,0,6.82,1081.47,0.922,0.92,AISI 1010 carbon steel,2127.7,2.63,Bad,DOE
2,35,1500,0,0.0,1819.13,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,3.41,2016.44,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,6.82,1910.44,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,10.24,1818.18,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,13.68,1750.71,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,17.17,1920.32,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,20.66,1912.24,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,24.15,1767.33,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,27.63,1767.33,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,31.13,1721.98,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,34.64,1795.33,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,38.15,1801.07,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,41.66,1937.26,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,45.18,1709.96,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,48.71,1786.69,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
2,35,1500,0,52.25,2014.73,0.92,0.925,AISI 1010 carbon steel,5346.4,3.34,Good,DOE
4,95,200,0,0.0,1427.04,0.912,0.924,AISI 1010 carbon steel,2350.4,2.76,Bad,DOE
4,95,200,0,8.29,1501.05,0.912,0.924,AISI 1010 carbon steel,2350.4,2.76,Bad,DOE
4,95,200,0,16.57,1321.93,0.912,0.924,AISI 1010 carbon steel,2350.4,2.76,Bad,DOE
5,95,200,0,24.85,1268.82,0.948,0.939,AISI 1010 carbon steel,2174.8,2.57,Bad,DOE
5,95,200,0,33.14,1538.4,0.948,0.939,AISI 1010 carbon steel,2174.8,2.57,Bad,DOE
5,95,200,0,41.42,1615.83,0.948,0.939,AISI 1010 carbon steel,2174.8,2.57,Bad,DOE
7,35,1500,0,127.46,940.25,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,127.46,1049.18,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,122.45,873.88,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,117.51,871.91,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,112.61,949.35,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,107.72,990.14,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,102.81,1009.07,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,97.92,1095.69,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,93.01,1076.69,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,88.11,1090.97,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,83.24,1143.32,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,78.38,1045.9,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
7,35,1500,0,73.51,1103.51,0.93,0.937,AISI 1010 carbon steel,3897.5,4.72,Good,DOE
